City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,-3.22,83,100,2.57,US,1705411224
1,polyarnyy,69.1989,33.4478,-14.46,94,100,4.43,RU,1705411162
2,kavieng,-2.5744,150.7967,28.18,79,100,3.74,PG,1705411227
3,vilyuchinsk,52.9306,158.4028,-7.85,92,93,4.02,RU,1705411228
4,port elizabeth,-33.918,25.5701,25.61,67,20,6.17,ZA,1705411187
5,waitangi,-43.9535,-176.5597,12.12,74,22,5.34,NZ,1705411231
6,kone,-21.0595,164.8658,25.71,87,100,2.23,NC,1705411233
7,adamstown,-25.066,-130.1015,23.53,75,100,7.45,PN,1705411234
8,taperoa,-7.2075,-36.8267,28.98,46,4,6.84,BR,1705411236
9,utrik,11.2278,169.8474,26.12,71,100,8.45,MH,1705411237
10,stung treng,13.5259,105.9683,24.88,49,96,2.54,KH,1705411239
11,albany,42.6001,-73.9662,-5.27,86,100,1.1,US,1705411051
12,san patricio,28.017,-97.5169,-3.42,40,88,7.86,US,1705411242
13,puerto natales,-51.7236,-72.4875,9.25,87,100,3.09,CL,1705411244
14,port-aux-francais,-49.35,70.2167,5.76,91,59,7.82,TF,1705411246
15,yellowknife,62.456,-114.3525,-30.88,84,20,3.09,CA,1705411224
16,las khorey,11.1595,48.1967,26.57,78,33,4.3,SO,1705411253
17,fisterra,42.9049,-9.2629,16.53,93,100,14.31,ES,1705411255
18,weisendorf,49.6228,10.8253,1.17,71,100,1.79,DE,1705411257
19,puerto ayora,-0.7393,-90.3518,24.75,97,13,1.79,EC,1705411259
20,el haouaria,37.05,11.0144,20.01,77,0,8.61,TN,1705411263
21,grytviken,-54.2811,-36.5092,3.24,74,43,5.0,GS,1705411268
22,sake,-1.5736,29.045,22.52,66,100,1.19,CD,1705411271
23,blackmans bay,-43.0167,147.3167,20.07,79,53,3.62,AU,1705411272
24,tynda,55.1667,124.7167,-25.11,98,100,1.05,RU,1705411275
25,zhanaozen,43.3,52.8,-0.99,68,7,8.82,KZ,1705411277
26,ad diwaniyah,31.9905,44.9306,19.72,27,0,7.12,IQ,1705411279
27,ma'rib,15.4591,45.3253,29.32,18,45,3.86,YE,1705411281
28,ust'-ilimsk,58.0006,102.6619,-21.65,93,100,3.62,RU,1705411282
29,klaksvik,62.2266,-6.589,-0.49,58,100,14.8,FO,1705411284
30,longyearbyen,78.2186,15.6401,-23.09,59,20,9.26,SJ,1705411286
31,labytnangi,66.6572,66.4183,-36.62,99,79,1.63,RU,1705411288
32,tazovsky,67.4667,78.7,-36.37,99,57,3.02,RU,1705411290
